b,g,e,iter,time.taken
-0.5,-0.5,-0.5,1,454051
-0.5,-0.5,-0.5,1,414587
-0.5,-0.5,-0.5,1,393588
-0.5,-0.5,-0.5,1,370757
-0.5,-0.5,-0.5,1,317803
-0.5,-0.5,-0.5,2,407971
-0.5,-0.5,-0.5,2,313340
-0.5,-0.5,-0.5,2,362920
-0.5,-0.5,-0.5,3,473115
-0.5,-0.5,-0.5,3,395787
-0.5,-0.5,-0.5,3,219208
-0.5,-0.5,-0.5,3,440724
-0.5,-0.5,-0.5,3,382335
-0.5,-0.5,-0.5,35,131775
-0.5,-0.5,-0.5,4,311068
-0.5,-0.5,-0.5,4,315436
-0.5,-0.5,-0.5,4,452508
-0.5,-0.5,-0.5,4,453559
-0.5,-0.5,-0.5,4,174108
-0.5,-0.5,-0.5,67,443760
-0.5,-0.5,0,1,259790
-0.5,-0.5,0,2,328473
-0.5,-0.5,0,2,305261
-0.5,-0.5,0,2,407365
-0.5,-0.5,0,2,345867
-0.5,-0.5,0,3,403258
-0.5,-0.5,0,3,360440
-0.5,-0.5,0,3,442837
-0.5,-0.5,0,3,114402
-0.5,-0.5,0,3,376801
-0.5,-0.5,0,4,190362
-0.5,-0.5,0,4,431909
-0.5,-0.5,0,4,354306
-0.5,-0.5,0,4,399359
-0.5,-0.5,0,4,395097
-0.5,-0.5,0,4,439502
-0.5,-0.5,0,5,707696
-0.5,-0.5,0,5,368515
-0.5,-0.5,0,5,400773
-0.5,-0.5,0,68,329303
-0.5,-0.5,0.5,1,315857
-0.5,-0.5,0.5,1,289700
-0.5,-0.5,0.5,1,2015270
-0.5,-0.5,0.5,2,365152
-0.5,-0.5,0.5,2,323786
-0.5,-0.5,0.5,2,155785
-0.5,-0.5,0.5,2,286392
-0.5,-0.5,0.5,34,371452
-0.5,-0.5,0.5,35,110269
-0.5,-0.5,0.5,67,343021
-0.5,-0.5,0.5,68,238674
-0.5,-1,-0.5,1,387852
-0.5,-1,-0.5,1,324601
-0.5,-1,-0.5,1,312683
-0.5,-1,-0.5,2,419593
-0.5,-1,-0.5,2,434629
-0.5,-1,-0.5,3,374802
-0.5,-1,-0.5,3,360132
-0.5,-1,-0.5,3,126357
-0.5,-1,-0.5,3,451451
-0.5,-1,-0.5,3,312072
-0.5,-1,-0.5,4,172802
-0.5,-1,-0.5,4,453830
-0.5,-1,-0.5,4,380169
-0.5,-1,-0.5,5,360135
-0.5,-1,-0.5,5,427350
-0.5,-1,-0.5,5,677296
-0.5,-1,-0.5,5,420711
-0.5,-1,-0.5,68,860830
-0.5,-1,0,1,324010
-0.5,-1,0,2,397809
-0.5,-1,0,2,308081
-0.5,-1,0,2,301768
-0.5,-1,0,3,391490
-0.5,-1,0,3,403018
-0.5,-1,0,3,387997
-0.5,-1,0,3,236919
-0.5,-1,0,3,406522
-0.5,-1,0,35,194853
-0.5,-1,0,4,317675
-0.5,-1,0,4,151436
-0.5,-1,0,4,637960
-0.5,-1,0,4,429019
-0.5,-1,0,5,347321
-0.5,-1,0,5,357053
-0.5,-1,0.5,1,403123
-0.5,-1,0.5,2,367599
-0.5,-1,0.5,2,350857
-0.5,-1,0.5,2,275196
-0.5,-1,0.5,2,363042
-0.5,-1,0.5,3,319033
-0.5,-1,0.5,3,304244
-0.5,-1,0.5,3,115641
-0.5,-1,0.5,34,443286
-0.5,-1,0.5,35,181401
-0.5,-1,0.5,68,367368
-0.5,-1.5,-0.5,1,1046015
-0.5,-1.5,-0.5,2,425362
-0.5,-1.5,-0.5,2,395067
-0.5,-1.5,-0.5,2,400894
-0.5,-1.5,-0.5,2,436024
-0.5,-1.5,-0.5,3,347068
-0.5,-1.5,-0.5,3,243151
-0.5,-1.5,-0.5,3,457453
-0.5,-1.5,-0.5,34,436672
-0.5,-1.5,-0.5,67,658101
-0.5,-1.5,-0.5,68,219596
-0.5,-1.5,0,1,312560
-0.5,-1.5,0,1,374036
-0.5,-1.5,0,1,391454
-0.5,-1.5,0,2,359839
-0.5,-1.5,0,2,329207
-0.5,-1.5,0,2,170590
-0.5,-1.5,0,2,336457
-0.5,-1.5,0,2,310721
-0.5,-1.5,0,2,326529
-0.5,-1.5,0,3,410935
-0.5,-1.5,0,3,343309
-0.5,-1.5,0,3,177760
-0.5,-1.5,0,3,396527
-0.5,-1.5,0,34,222406
-0.5,-1.5,0,35,112504
-0.5,-1.5,0,4,310114
-0.5,-1.5,0,4,307234
-0.5,-1.5,0,4,414432
-0.5,-1.5,0,4,363440
-0.5,-1.5,0.5,1,242069
-0.5,-1.5,0.5,2,349078
-0.5,-1.5,0.5,2,386502
-0.5,-1.5,0.5,3,107881
-0.5,-1.5,0.5,3,397000
-0.5,-1.5,0.5,3,381263
-0.5,-1.5,0.5,3,377140
-0.5,-1.5,0.5,3,323988
-0.5,-1.5,0.5,34,320707
-0.5,-1.5,0.5,4,270969
-0.5,-1.5,0.5,4,282861
-0.5,-1.5,0.5,4,342685
-0.5,-1.5,0.5,4,313320
-0.5,-1.5,0.5,4,344866
-0.5,-1.5,0.5,4,355204
