Model,it,KM_Bias_Est,KM_EmpSE_Est,KM_Coverage_Est,KM_Bias_SE,KM_EmpSE_SE,KM_Coverage_SE,Pseudo_Bias_Est,Pseudo_EmpSE_Est,Pseudo_Coverage_Est,Pseudo_Bias_SE,Pseudo_EmpSE_SE,Pseudo_Coverage_SE,Pseudo.Slope_Bias_Est,Pseudo.Slope_EmpSE_Est,Pseudo.Slope_Coverage_Est,Pseudo.Slope_Bias_SE,Pseudo.Slope_EmpSE_SE,Pseudo.Slope_Coverage_SE,Unweighted_Bias_Est,Unweighted_EmpSE_Est,Unweighted_Coverage_Est,Unweighted_Bias_SE,Unweighted_EmpSE_SE,Unweighted_Coverage_SE,Unweighted.Slope_Bias_Est,Unweighted.Slope_EmpSE_Est,Unweighted.Slope_Coverage_Est,Unweighted.Slope_Bias_SE,Unweighted.Slope_EmpSE_SE,Unweighted.Slope_Coverage_SE,Weighted_Bias_Est,Weighted_EmpSE_Est,Weighted_Coverage_Est,Weighted_Bias_SE,Weighted_EmpSE_SE,Weighted_Coverage_SE,Weighted.Slope_Bias_Est,Weighted.Slope_EmpSE_Est,Weighted.Slope_Coverage_Est,Weighted.Slope_Bias_SE,Weighted.Slope_EmpSE_SE,Weighted.Slope_Coverage_SE
O,1,-0.2111120226320029,0.0038027166542400344,0,3.8027166542400345e-4,2.702473049271285e-4,0,-0.17474040636016716,0.04086037247362652,0,0.004086037247362652,0.0029038202273114133,0,-0.040968978900945356,0.009402249542405962,0.04,9.402249542405962e-4,6.681887792650539e-4,3.8399999999999996e-4,0.06926743680297276,0.03712040161727289,0.45,0.003712040161727289,0.0026380320720701803,0.002475,-0.0129149506196231,0.0076296265696015496,1,7.62962656960155e-4,5.422139500549497e-4,0,1.179075388228798e-4,0.03876154200894996,0.92,0.003876154200894996,0.00275466284111874,7.359999999999997e-4,-2.2046881548694054e-5,0.007471913975149276,1,7.471913975149276e-4,5.310058040164407e-4,0
O,2,-0.21128532558831215,0.004001853160041972,0,4.0018531600419726e-4,2.843993201569706e-4,0,-0.17736159844671134,0.0411570219016275,0,0.00411570219016275,0.00292490218416351,0,-0.04329725967277115,0.009578195526862439,0.02,9.578195526862438e-4,6.806927159070585e-4,1.96e-4,0.07184978018449238,0.037925193413997776,0.42,0.0037925193413997776,0.0026952261345964683,0.0024360000000000002,-0.013545755683666217,0.007894372222021256,1,7.894372222021256e-4,5.610286043042546e-4,0,9.209614409386843e-4,0.03964844962135456,0.93,0.003964844962135456,0.0028176926205540414,6.509999999999997e-4,-5.324983930656724e-5,0.0076970213775878595,1,7.69702137758786e-4,5.470034905020598e-4,0
O,3,-0.21157843589505235,0.003986472014006966,0,3.986472014006966e-4,2.8330622970595943e-4,0,-0.17900590419825826,0.039988867662148805,0,0.003998886766214881,0.002841885077273277,0,-0.04582971029967181,0.009803231135055351,0,9.803231135055352e-4,6.966853001978083e-4,0,0.07541638630107421,0.03684996324614887,0.44,0.0036849963246148873,0.002618812853918952,0.0024640000000000005,-0.014066993727661337,0.007964183191988685,1,7.964183191988685e-4,5.659898539064332e-4,0,0.0023266448988836764,0.038401349920399855,0.93,0.0038401349920399856,0.0027290651040172377,6.509999999999997e-4,2.3453472639693994e-4,0.007702260615271865,1,7.702260615271865e-4,5.473758269111888e-4,0
O,4,-0.21154686610862655,0.003977758006926493,0,3.977758006926493e-4,2.826869521886645e-4,0,-0.1844062623832129,0.038646993675310416,0,0.0038646993675310417,0.002746522245522309,0,-0.048993261009452775,0.0095613288746553,0,9.5613288746553e-4,6.794940551293642e-4,0,0.07640729174076213,0.035988222090397565,0.41,0.0035988222090397566,0.002557571576679188,0.002419,-0.015206977952346786,0.008203404731455076,0.99,8.203404731455076e-4,5.829905884337421e-4,9.900000000000009e-5,0.0017459051988971401,0.03794818304550579,0.93,0.003794818304550579,0.002696859936565222,6.509999999999997e-4,-3.1078916928985347e-4,0.008463463418241427,1,8.463463418241427e-4,6.014721545395252e-4,0
O,5,-0.21155061462434657,0.0040317572076295745,0,4.0317572076295743e-4,2.86524508279507e-4,0,-0.18828599540799085,0.03886413968148546,0,0.0038864139681485457,0.0027619541402124016,0,-0.051503570762728275,0.009755350637607199,0,9.755350637607199e-4,6.93282581412672e-4,0,0.077738136935748,0.03556060795371808,0.38,0.0035560607953718077,0.002527182363257904,0.002356,-0.015900346565991236,0.008347267078528875,0.99,8.347267078528875e-4,5.932144402513199e-4,9.900000000000009e-5,0.0011162208579280082,0.037131739186842476,0.94,0.0037131739186842478,0.002638837798054836,5.640000000000005e-4,-2.924058818409436e-4,0.00845882740999711,1,8.45882740999711e-4,6.011426877799522e-4,0
O,6,-0.21172813008283942,0.004194926660555062,0,4.194926660555062e-4,2.9812045636319596e-4,0,-0.19069690477554604,0.038935759119741384,0,0.0038935759119741384,0.0027670439120594517,0,-0.05434934405375063,0.009940723926169915,0,9.940723926169916e-4,7.064564873842607e-4,0,0.08045806828746543,0.03614799458181166,0.36,0.003614799458181166,0.0025689261132203233,0.002304,-0.016658265141638505,0.008553677757246803,0.99,8.553677757246802e-4,6.078834084400232e-4,9.900000000000009e-5,0.0017806361018468176,0.03794608567566006,0.91,0.003794608567566006,0.0026967108829806974,8.189999999999997e-4,-2.1194904377710877e-4,0.008619842377692534,1,8.619842377692534e-4,6.125855232654989e-4,0
O,7,-0.21169836900489492,0.004111241076845167,0,4.111241076845167e-4,2.921731808980003e-4,0,-0.194571380915736,0.03709050421630581,0,0.003709050421630581,0.002635907356302396,0,-0.057069746824793544,0.010394133458632387,0,0.0010394133458632388,7.386788997587479e-4,0,0.08174971237027784,0.035009567315490764,0.36,0.0035009567315490765,0.0024880216103208654,0.002304,-0.017434941824786825,0.008683824037922965,0.98,8.683824037922965e-4,6.171325018637485e-4,1.9600000000000016e-4,0.0010891511230033755,0.03641816236370879,0.91,0.003641816236370879,0.002588126101432548,8.189999999999997e-4,-2.2981949232324218e-4,0.008708196667438188,1,8.708196667438188e-4,6.188645892211204e-4,0
O,8,-0.21173951109519948,0.004102157511021202,0,4.1021575110212024e-4,2.9152763998442275e-4,0,-0.1979436273201369,0.03703544835033737,0,0.003703544835033737,0.002631994706281046,0,-0.05994971005819568,0.010548301544746551,0,0.0010548301544746552,7.49635148558319e-4,0,0.08370244233544726,0.03421346641747491,0.31,0.0034213466417474907,0.0024314451830714234,0.002139,-0.01823840219528386,0.008970329322924407,0.98,8.970329322924407e-4,6.374935458644072e-4,1.9600000000000016e-4,9.797191577238739e-4,0.03550824896701815,0.93,0.0035508248967018154,0.0025234613721005447,6.509999999999997e-4,-1.717457687493129e-4,0.008986575098073886,1,8.986575098073886e-4,6.386480828309475e-4,0
O,9,-0.2118120869616188,0.004183625713146252,0,4.183625713146252e-4,2.973173330021775e-4,0,-0.20129212201490454,0.0367673496013139,0,0.00367673496013139,0.00261294175783243,0,-0.06310863970142212,0.010961245873876691,0,0.001096124587387669,7.789818241534965e-4,0,0.08603368837453287,0.03409728778850947,0.27,0.003409728778850947,0.002423188727431209,0.001971,-0.01922627506656707,0.009555109415923359,0.97,9.555109415923359e-4,6.790520574436995e-4,2.9100000000000024e-4,0.0014192077013501045,0.03526373020431366,0.93,0.0035263730204313664,0.002506084180310217,6.509999999999997e-4,-3.1565715525103897e-4,0.009512019190000756,1,9.512019190000756e-4,6.759897684321582e-4,0
O,10,-0.21182360637290534,0.004078396770991231,0,4.078396770991231e-4,2.898390377192463e-4,0,-0.20478868285933943,0.03567483755138479,0,0.0035674837551384793,0.00253530030727509,0,-0.06640730829529613,0.011177630607935937,0,0.0011177630607935936,7.943596175901131e-4,0,0.08801526765065917,0.03260529552812065,0.21,0.003260529552812065,0.0023171574545272347,0.0016589999999999999,-0.02023203408991014,0.009737540439708231,0.96,9.737540439708231e-4,6.920168657625069e-4,0.00038400000000000033,0.001532649499555957,0.03355114961610073,0.94,0.003355114961610073,0.0023843763775689797,5.640000000000005e-4,-5.03085139865671e-4,0.009581989859741524,1,9.581989859741523e-4,6.809623674030293e-4,0
